                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 2.6888,                 2.5322,                 2.1327,                0.87174,                0.07376,                0.08854,                0.02674,                 2.6817,                  2.613,                 2.3069,               0.001082,               0.001082,               0.001082
                     68,                 2.7095,                 2.6546,                 2.1728,                0.88559,                0.06364,                0.09602,                0.02871,                 2.6815,                 2.8174,                 2.2804,              0.0010815,              0.0010815,              0.0010815
                     69,                 2.7378,                 2.6129,                  2.113,                0.87215,                0.08182,                 0.1207,                0.04018,                 2.6678,                 3.0474,                 2.1646,              0.0010811,              0.0010811,              0.0010811
                     70,                 2.8636,                 2.7243,                   2.14,                0.73435,                 0.1593,                0.11149,                0.03559,                 2.6404,                 2.5535,                 2.1336,              0.0010806,              0.0010806,              0.0010806
                     71,                 2.7418,                  2.621,                 2.0782,                0.72242,                0.14937,                0.10439,                0.03214,                 2.5757,                 2.3767,                 2.1197,              0.0010802,              0.0010802,              0.0010802
                     72,                 2.6617,                 2.5542,                 2.1633,                0.53757,                0.14839,                0.09988,                  0.031,                 2.6269,                 2.2942,                 2.1883,              0.0010798,              0.0010798,              0.0010798
                     73,                 2.8326,                 2.5082,                 2.1014,                0.57526,                0.15566,                0.11888,                0.03509,                 2.6271,                 2.2652,                 2.2078,              0.0010793,              0.0010793,              0.0010793
                     74,                 2.7633,                 2.4843,                 2.0754,                0.80517,                0.16005,                0.12814,                0.04432,                 2.6278,                 2.2412,                  2.196,              0.0010789,              0.0010789,              0.0010789
                     75,                 2.6029,                 2.5535,                 2.0808,                 0.5747,                0.19832,                0.10805,                0.03651,                 2.7097,                 2.4498,                 2.2228,              0.0010784,              0.0010784,              0.0010784
                     76,                 2.6912,                 2.6022,                 2.1604,                0.57332,                0.17789,                0.10417,                0.03589,                 2.7062,                 2.4815,                 2.1868,               0.001078,               0.001078,               0.001078
                     77,                 2.7615,                 2.5161,                 2.1545,                0.83046,                0.14476,                0.12545,                0.04225,                 2.6219,                 2.3409,                 2.1369,              0.0010776,              0.0010776,              0.0010776
                     78,                 2.6338,                 2.4023,                 2.1009,                0.55147,                0.19425,                0.12706,                0.04075,                 2.6162,                 2.5343,                 2.1362,              0.0010771,              0.0010771,              0.0010771
                     79,                 2.6589,                 2.4171,                 2.1767,                0.58892,                0.14664,                0.13746,                 0.0446,                  2.581,                  2.488,                 2.1275,              0.0010767,              0.0010767,              0.0010767
                     80,                 2.6024,                 2.3879,                 2.0662,                0.64067,                0.12517,                0.15262,                0.04491,                 2.5914,                 2.4768,                 2.1555,              0.0010762,              0.0010762,              0.0010762
                     81,                 2.7146,                 2.5098,                 2.2041,                0.35267,                0.22294,                0.15128,                0.04554,                 2.6021,                 2.4143,                  2.179,              0.0010758,              0.0010758,              0.0010758
                     82,                 2.5381,                 2.3412,                 2.0207,                0.32188,                0.18937,                0.14286,                0.04473,                 2.5858,                  2.484,                 2.1922,              0.0010754,              0.0010754,              0.0010754
                     83,                 2.5604,                 2.2922,                  2.134,                0.56694,                0.20295,                0.18887,                0.05321,                 2.5652,                 2.3447,                 2.1374,              0.0010749,              0.0010749,              0.0010749
                     84,                 2.5318,                 2.2367,                 2.0459,                0.62017,                0.17733,                0.20523,                 0.0578,                 2.4844,                 2.2358,                 2.0885,              0.0010745,              0.0010745,              0.0010745
                     85,                 2.5869,                 2.4587,                 2.1214,                0.39323,                0.18047,                0.17414,                0.06221,                 2.4734,                 2.1254,                 2.0919,               0.001074,               0.001074,               0.001074
                     86,                 2.6615,                 2.4291,                 2.1026,                0.38943,                0.18965,                0.17436,                0.06499,                 2.4565,                 2.0721,                 2.0798,              0.0010736,              0.0010736,              0.0010736
                     87,                 2.5104,                 2.1937,                 1.9441,                0.73305,                0.20476,                0.17041,                0.06276,                 2.4348,                 2.0069,                 2.0486,              0.0010732,              0.0010732,              0.0010732
                     88,                 2.5492,                 2.2684,                 2.0022,                0.74998,                0.16226,                0.15176,                0.05472,                  2.461,                  2.001,                 2.0251,              0.0010727,              0.0010727,              0.0010727
                     89,                 2.5558,                 2.3883,                  2.054,                 0.7455,                0.15818,                0.16275,                0.05936,                 2.3859,                 2.0507,                 2.0047,              0.0010723,              0.0010723,              0.0010723
                     90,                 2.5405,                 2.2941,                 1.9851,                0.40531,                0.23301,                0.20207,                0.06831,                 2.4402,                 2.0946,                 2.0657,              0.0010718,              0.0010718,              0.0010718
                     91,                 2.5274,                 2.2454,                 1.9785,                0.49648,                0.24727,                0.21182,                0.07108,                 2.5006,                 2.0822,                 2.0897,              0.0010714,              0.0010714,              0.0010714
                     92,                 2.4771,                 2.1657,                 1.8812,                0.54635,                0.23505,                0.22926,                0.07535,                 2.4893,                 1.9942,                 2.0652,               0.001071,               0.001071,               0.001071
                     93,                 2.4716,                 2.1735,                 1.9164,                0.62188,                0.17971,                0.21802,                0.07087,                 2.4639,                 1.9843,                 2.0445,              0.0010705,              0.0010705,              0.0010705
                     94,                 2.5614,                 2.0999,                 1.9839,                0.82399,                  0.181,                0.23823,                 0.0795,                 2.4008,                 1.9506,                 2.0114,              0.0010701,              0.0010701,              0.0010701
                     95,                  2.475,                 2.1763,                 1.9507,                 0.5559,                0.26827,                0.30285,                0.09975,                 2.4198,                 1.9331,                 2.0141,              0.0010696,              0.0010696,              0.0010696
                     96,                 2.6284,                 2.1023,                 1.8577,                0.73064,                0.25588,                0.26275,                 0.0901,                 2.3498,                 1.9726,                  1.974,              0.0010692,              0.0010692,              0.0010692
                     97,                   2.44,                 2.2142,                 2.0046,                0.52866,                 0.2778,                0.27575,                0.10181,                  2.349,                 1.8866,                 1.9539,              0.0010688,              0.0010688,              0.0010688
                     98,                 2.5732,                 2.0749,                 1.9181,                0.50627,                0.29108,                0.26389,                0.09883,                 2.3686,                 1.8272,                 1.9556,              0.0010683,              0.0010683,              0.0010683
                     99,                 2.3754,                  1.907,                 1.7972,                0.27894,                0.29057,                0.24913,                 0.1016,                  2.324,                 1.8194,                 1.9484,              0.0010679,              0.0010679,              0.0010679
                    100,                 2.4632,                 2.3525,                 2.0149,                0.37341,                0.31927,                0.26393,                0.10232,                  2.337,                 1.8435,                 1.9738,              0.0010674,              0.0010674,              0.0010674
