                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                 1.7792,                 1.1755,                 1.4035,                0.51077,                 0.6104,                0.59748,                0.26622,                 2.2363,                 1.4777,                 1.8313,              0.0097782,              0.0097782,              0.0097782
                     58,                 1.7709,                 1.1762,                 1.4175,                0.91392,                0.49102,                0.60727,                0.31927,                 2.1954,                 1.5746,                 1.7833,              0.0097743,              0.0097743,              0.0097743
                     59,                 1.7645,                 1.1497,                 1.3839,                0.80432,                0.56023,                0.59095,                0.31747,                  2.269,                 1.5802,                 1.8177,              0.0097703,              0.0097703,              0.0097703
                     60,                 1.7809,                 1.1695,                 1.4322,                0.62856,                0.51066,                0.57264,                 0.2316,                  2.234,                 1.5787,                 1.7684,              0.0097664,              0.0097664,              0.0097664
                     61,                 1.7647,                 1.1784,                 1.4082,                0.84638,                0.56107,                0.59719,                0.27647,                 2.1514,                 1.4749,                 1.7744,              0.0097624,              0.0097624,              0.0097624
                     62,                 1.7485,                 1.1511,                 1.3952,                0.55076,                0.56239,                0.61483,                0.31344,                 2.0422,                 1.3982,                 1.6959,              0.0097584,              0.0097584,              0.0097584
                     63,                  1.763,                 1.1518,                 1.3935,                0.81558,                0.51236,                0.58864,                0.28306,                 2.3057,                 1.6005,                   1.83,              0.0097545,              0.0097545,              0.0097545
                     64,                 1.7476,                 1.1522,                 1.3826,                0.64982,                0.59537,                0.63829,                0.32495,                 2.1202,                 1.4394,                 1.7611,              0.0097505,              0.0097505,              0.0097505
                     65,                 1.7499,                 1.1434,                 1.4018,                0.55298,                0.53754,                0.59838,                0.31186,                 2.1713,                 1.5283,                 1.7494,              0.0097466,              0.0097466,              0.0097466
                     66,                 1.7419,                 1.1509,                 1.3841,                  0.818,                 0.5828,                0.63065,                 0.3615,                 2.1446,                 1.4925,                 1.7558,              0.0097426,              0.0097426,              0.0097426
                     67,                  1.711,                 1.1157,                 1.3768,                0.81855,                0.56018,                0.62887,                0.35631,                 2.1514,                 1.5086,                 1.7154,              0.0097386,              0.0097386,              0.0097386
                     68,                 1.7334,                 1.1115,                 1.3757,                0.68807,                0.56384,                0.56794,                0.29738,                 2.1149,                 1.4167,                 1.7815,              0.0097347,              0.0097347,              0.0097347
                     69,                 1.7197,                 1.0927,                 1.3717,                0.83846,                0.58934,                 0.6056,                0.31778,                 2.1109,                 1.4296,                 1.7459,              0.0097307,              0.0097307,              0.0097307
                     70,                 1.6975,                 1.0934,                 1.3707,                 0.8737,                0.60403,                0.64971,                0.28122,                 2.1809,                 1.4616,                 1.7787,              0.0097268,              0.0097268,              0.0097268
                     71,                 1.7259,                 1.0988,                 1.3715,                0.81893,                 0.6081,                0.65021,                0.35895,                 2.0855,                  1.203,                 1.7493,              0.0097228,              0.0097228,              0.0097228
                     72,                 1.7183,                 1.1016,                 1.3751,                0.89083,                0.54768,                0.63924,                0.32108,                 2.1229,                 1.3738,                 1.7069,              0.0097188,              0.0097188,              0.0097188
                     73,                 1.7153,                 1.0979,                 1.3755,                0.84416,                0.59408,                0.62176,                0.29788,                 2.1627,                 1.4961,                 1.7558,              0.0097149,              0.0097149,              0.0097149
                     74,                 1.7077,                 1.0869,                 1.3654,                 0.8758,                0.55794,                0.62311,                0.31302,                 2.1169,                 1.5294,                 1.7803,              0.0097109,              0.0097109,              0.0097109
                     75,                 1.6832,                 1.0632,                 1.3494,                0.82829,                0.52849,                0.61038,                0.31474,                 2.0763,                  1.464,                 1.7169,               0.009707,               0.009707,               0.009707
                     76,                 1.6869,                 1.0829,                 1.3682,                0.70671,                0.54027,                0.58445,                 0.2967,                 2.1906,                 1.4581,                 1.7841,               0.009703,               0.009703,               0.009703
                     77,                 1.6871,                 1.0507,                 1.3547,                0.82821,                0.59692,                0.62516,                 0.2952,                 2.1434,                  1.459,                 1.7612,               0.009699,               0.009699,               0.009699
                     78,                 1.6895,                 1.0619,                 1.3659,                0.76634,                0.56116,                0.55823,                0.28721,                 2.0832,                 1.4428,                 1.7212,              0.0096951,              0.0096951,              0.0096951
